year,total,all_career,mostly_career,mostly_volunteer,all_volunteer
1986,29840,1999,1044,3640,23157
1987,29741,1683,1335,3635,23088
1988,30245,1729,1405,3908,23203
1989,30315,1799,1303,3878,23335
1990,30391,1949,1338,4000,23104
1991,30587,2017,1257,4162,23151
1992,30562,1843,1217,4377,23125
1993,30528,1646,1342,4378,23162
1994,30495,1778,1448,4400,22869
1995,31197,1831,1660,4581,23125
1996,31503,1872,1380,4863,23388
1997,30665,1979,1490,4808,22388
1998,31114,2028,1602,4848,22636
1999,30436,1752,1639,4651,22394
2000,30339,2178,1667,4523,21971
2001,30020,1928,1539,4671,21882
2002,30310,2044,1480,4886,21900
2003,30542,2018,1582,5271,21671
2004,30400,1917,1242,4084,23157
2005,30300,2087,1766,4902,21575
2006,30635,2321,1731,5134,21449
2007,30185,2263,1765,4989,21168
2008,30170,2315,1790,4830,21235
2009,30165,2457,1752,5099,20857
2010,30125,2495,1860,5290,20480
2011,30145,2550,1865,5530,20200
2012,30100,2610,1995,5445,20050
2013,30052,2477,1971,5797,19807
2014,29980,2440,2045,5580,19915
2015,29727,2651,1893,5421,19762
