year,total,career,volunteer
1983,1111200,226600,884600
1984,1129350,231600,897750
1985,1077950,238500,839450
1986,1045950,237750,808200
1987,1060000,243200,816800
1988,1040750,252500,788250
1989,1020700,250600,770100
1990,1025650,253000,772650
1991,1033600,261800,771800
1992,1058300,253000,805300
1993,1055050,259650,795400
1994,1073600,265700,807900
1995,1098850,260850,838000
1996,1081800,266300,815500
1997,1079050,275700,803350
1998,1082500,278300,804200
1999,1065150,279900,785250
2000,1064150,286800,777350
2001,1078300,293600,784700
2002,1108250,291650,816600
2003,1096900,296850,800050
2004,1100750,305150,795600
2005,1136650,313300,823350
2006,1140900,316950,823950
2007,1148800,323350,825450
2008,1148850,321700,827150
2009,1148100,335950,812150
2010,1103300,335150,768150
2011,1100450,344050,756040
2012,1129250,345950,783300
2013,1140750,354600,786150
2014,1134400,346150,788250
2015,1160450,345600,814880
