fdid,fire_dept_name,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,mail_addr1,mail_addr2,mail_po_box,mail_city,mail_state,mail_zip,hq_phone,hq_fax,county,dept_type,org_type,website,no_of_stations,active_firefighters_career,active_firefighters_volunteer,active_firefighters_paid_per_call,nonfirefighting_civilian,nonfirefighting_volunteer,primary_agency_for_em
"F2005","482 SPTG/CEF Fire Department","29050 Coral Sea BLVD","","Homestead ARB","FL","33039-1299","29050 Coral Sea BLVD","","","Homestead ARB","FL","33039-1299","(305) 224-7400","(305) 224-7705","MIAMI-DADE               ","Career","Federal government (Executive branch)","","1","54","0","0","0","0",""
"11062","Alachua County Fire Rescue Services","911 SE 5TH ST","","Gainesville","FL","32601","","","PO Box 5038","Gainesville","FL","32627-5038","352-384-3101","352-384-3157","ALACHUA                  ","Career","Local (includes career  combination  and volunteer)","http://www.alachuacounty.us/Depts/PublicSafety/Pages/fr.aspx","16","250","0","0","29","0","Yes"
"25051","Alford Volunteer Fire Department","1768 Georgia ST","PO Box 128","Alford","FL","32420-0128","","","PO Box 128","Alford","FL","32420-0128","(850) 579-4684","(850) 579-2523","JACKSON                  ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","13","0","0","0",""
"59031","Alligator Point Volunteer Fire Department  Inc.","PO Box 291","","Panacea","FL","32346","","","PO Box 291","Panacea","FL","32346","850-349-2100","","WAKULLA                  ","Volunteer","Local (includes career  combination  and volunteer)","","2","0","18","0","0","10",""
"43111","Almarante Fire District","3710 Old California RD","","Laurel Hill","FL","32567","","","PO Box 700","Laurel Hill","FL","32567-0700","850-652-3911","850-652-3912","OKALOOSA                 ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","8","0","0","5","No"
"18032","Alva Fire Control District","2660 Styles RD","","Alva","FL","33920","2660 Styles RD","","","Alva","FL","33920","(239) 728-2223","(239) 728-2231","LEE                      ","Mostly Volunteer","Local (includes career  combination  and volunteer)","","1","4","15","0","2","0",""
"65051","Apalachee Bay Volunteer Fire and Rescue Dept.","1448 Shell Point RD","","Crawfordville","FL","32327","1448 Shell Point RD","","","Crawfordville","FL","32327","(850) 926-2441","","WAKULLA                  ","Volunteer","Local (includes career  combination  and volunteer)","https://www.ApalacheeBayVDF.com","1","0","9","0","0","2",""
"07072","Apopka Fire Department","175 E 5TH ST","","Apopka","FL","32703","175 E 5TH ST","","","Apopka","FL","32703-5313","407-703-1753","407-703-1714","ORANGE                   ","Mostly Career","Local (includes career  combination  and volunteer)","https://www.apopka.net/","4","79","13","0","3","0","Yes"
"11052","Archer Volunteer Fire Department","429 W Highway 24","PO Box 39","Archer","FL","32618","429 W Highway 24","PO Box 39","","Archer","FL","32618","(352) 495-2333","(352) 495-2445","ALACHUA                  ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","20","0","0","0",""
"36111","Argyle Volunteer Fire Department","67 Fire Dept AVE","PO Box 61","Argyle","FL","32422","","","PO Box 61","Argyle","FL","32422-0061","(850) 892-9730","","WALTON                   ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","25","0","1","2",""
"46031","Ashville Area Volunteer Fire Department  Inc.","Rt. 2 Box 100A RT","","Greenville","FL","32331","Rt. 2 Box 100A RT","","","Greenville","FL","32331","(850) 342-0182","","MADISON                  ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","7","0","0","5",""
"05022","Auburndale Fire Department","100 Ariana AVE","","Auburndale","FL","33823-3319","100 Ariana AVE","","","Auburndale","FL","33823-3319","863-965-5522","863-965-5528","POLK                     ","Career","Local (includes career  combination  and volunteer)","https://www.auburndalefl.com/","1","21","0","0","1","0","No"
"33071","Avalon Mulat Fire Rescue","5428 Mulat RD","","Miton","FL","32583","5428 Mulat RD","","","Milton","FL","32583","(850) 994-4445","","SANTA ROSA               ","Volunteer","Local (includes career  combination  and volunteer)","https://www.avfire.com","2","0","25","0","5","1",""
"27022","Avon Park Correctional Institution","PO Box 1100","","Avon Park","FL","33825","","","PO Box 1100","Avon Park","FL","33825","(863) 453-3174","(863) 453-1511","HIGHLANDS                ","Mostly Volunteer","Local (includes career  combination  and volunteer)","","1","1","6","1","1","6",""
"27042","Avon Park Fire Department","98 S Delaney AVE","","Avon Park","FL","33825-3929","98 S Delaney AVE","","","Avon Park","FL","33825-3929","863-453-6557","863-453-7853","HIGHLANDS                ","Career","Local (includes career  combination  and volunteer)","","1","15","0","0","0","0","Yes"
"33021","Bagdad Volunteer Fire Department","7043 Oak ST","","Milton","FL","32583","","","PO Box 105","Bagdad","FL","32530-0105","850-623-8111","850-623-0888","SANTA ROSA               ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","0","25","0","5",""
"52021","Baker County Volunteer Fire Department","1190 W Macclenny AVE","","Macclenny","FL","32063","","","PO Box 958","Macclenny","FL","32063-0958","904-259-0231","904-259-3923","BAKER                    ","Mostly Volunteer","Local (includes career  combination  and volunteer)","","8","1","0","35","0","10","Yes"
"43031","Baker Fire District","1375 19TH ST","","Baker","FL","32531","","","PO Box 101","Baker","FL","32531-0101","850-537-2487","850-537-7295","OKALOOSA                 ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","30","0","0","15","No"
"02501","Baldwin Fire Department","610 Oliver ST W","","Baldwin","FL","32234","610 Oliver ST W","","","Baldwin","FL","32234","904-266-4870","904-266-4220","DUVAL                    ","Mostly Volunteer","Local (includes career  combination  and volunteer)","","1","1","4","1","0","0",""
"05062","Bartow Fire Department","110 E Church ST","","Bartow","FL","33830","110 E Church ST","","PO Box 1069","Bartow","FL","33831-1069","863-534-5044","863-534-7293","POLK                     ","Mostly Career","Local (includes career  combination  and volunteer)","https://www.cityofbartow.net/?page=106","1","21","10","0","1","0",""
"23181","Bay County Department of Emergency Services  Fire Services Division","644 Mulberry AVE","","Panama City","FL","32401","644 Mulberry AVE","","","Panama City","FL","32401-2640","850-784-4075","850-784-4010","BAY                      ","Mostly Volunteer","Local (includes career  combination  and volunteer)","https://co.bay.fl.us/emergency/fire-services.php","10","55","25","113","8","1","Yes"
"18021","Bayshore Fire/Rescue","17350 Nalle RD","","North Fort Myers","FL","33917-2201","17350 Nalle RD","","","North Fort Myers","FL","33917-2201","239-543-3443","239-543-7075","LEE                      ","Mostly Volunteer","Local (includes career  combination  and volunteer)","https://bayshorefire.org/","1","7","25","0","1","3","Yes"
"09111","Bellview Volunteer Fire Department","7009 Pine Forest RD","","Pensacola","FL","32526-3906","7009 Pine Forest RD","","","Pensacola","FL","32526-3906","850-941-6006","","ESCAMBIA                 ","Mostly Volunteer","Local (includes career  combination  and volunteer)","","2","4","25","0","0","0",""
"38021","Big Coppitt Volunteer Fire Department","28 Emerald DR","","Key West","FL","33040","","","PO Box 2292","Key West","FL","33045-2292","(305) 294-9419","(305) 295-4347","MONROE                   ","Mostly Volunteer","Local (includes career  combination  and volunteer)","","2","12","21","0","0","3",""
"64031","Big Corkscrew Island Fire Control & Rescue District","13240 Immokalee RD","","Naples","FL","34120-1355","13240 Immokalee RD","","","Naples","FL","34120-1355","239-455-1204","239-455-6497","COLLIER                  ","Mostly Career","State Independent Special District","https://www.bcifr.com/","3","29","4","0","2","6","No"
"38031","Big Pine Key Volunteer Fire Department","400 Key Deer BLVD","PO Box 192","Big Pine","FL","33043","","","PO Box 192","Big Pine","FL","33043","(305) 872-0975","(305) 872-2407","MONROE                   ","Mostly Volunteer","Local (includes career  combination  and volunteer)","","1","9","35","0","0","2",""
"43201","Blackman Fire District  Inc.","1850 HWY 2","","Baker","FL","32531-7474","1850 HWY 2","","","Baker","FL","32531","850-537-3473","850-537-5571","OKALOOSA                 ","Volunteer","Local (includes career  combination  and volunteer)","","1","0","12","0","0","4",""
"03161","Bloomingdale Volunteer Fire Department","4705 E Bloomingdale AVE","","Valrico","FL","33594","4705 E Bloomingdale AVE","","","Valrico","FL","33594","813-744-5906","813-681-6163","HILLSBOROUGH             ","Volunteer","Local (includes career  combination  and volunteer)","https://www.engine27.com","1","0","32","0","3","0",""
"18082","Boca Grande Fire Department","360 E Railroad AVE","","Boca Grande","FL","33921","","","PO Box 532","Boca Grande","FL","33921-0532","941-964-2908","941-964-0368","LEE                      ","Career","Local (includes career  combination  and volunteer)","https://bocagrandefire.com/","1","19","0","0","2","0","Yes"
"06142","Boca Raton Fire Rescue Services Department","6500 Congress AVE STE 200","","Boca Raton","FL","33487-2851","6500 Congress AVE STE 200","","","Boca Raton","FL","33487-2851","561-982-4000","561-982-4050","PALM BEACH               ","Career","Local (includes career  combination  and volunteer)","https://www.ci.boca-raton.fl.us/fire/","8","207","0","0","18","0","No"
"51011","Bonifay Fire Rescue Department","809 S Waukesha ST","","Bonifay","FL","32425","809 S Waukesha ST","","","Bonifay","FL","32425-3034","850-547-2861","850-547-0462","HOLMES                   ","Volunteer","Local (includes career  combination  and volunteer)","https://www.bonifayfire.com/","1","0","20","0","0","0",""
"18042","Bonita Springs Fire Control and Rescue District","27701 Bonita Grande DR","","Bonita Springs","FL","34135-6201","27701 Bonita Grande DR","","","Bonita Springs","FL","34135-6201","239-949-6200","239-949-6207","LEE                      ","Career","Local (includes career  combination  and volunteer)","https://www.bonitafire.org/","5","88","0","0","12","0","Yes"
