fips,variable,value
1,HC01_EST_VC01,3705690
2,HC01_EST_VC01,528564
4,HC01_EST_VC01,5007440
5,HC01_EST_VC01,2245625
6,HC01_EST_VC01,29115176
8,HC01_EST_VC01,4004634
9,HC01_EST_VC01,2800025
10,HC01_EST_VC01,719332
11,HC01_EST_VC01,532733
12,HC01_EST_VC01,15551250
13,HC01_EST_VC01,7466582
15,HC01_EST_VC01,1056781
16,HC01_EST_VC01,1183548
17,HC01_EST_VC01,9832607
18,HC01_EST_VC01,4978964
19,HC01_EST_VC01,2365180
20,HC01_EST_VC01,2152041
21,HC01_EST_VC01,3366540
22,HC01_EST_VC01,3496000
23,HC01_EST_VC01,1065127
24,HC01_EST_VC01,4555597
25,HC01_EST_VC01,5303395
26,HC01_EST_VC01,7647177
27,HC01_EST_VC01,4136443
28,HC01_EST_VC01,2241286
29,HC01_EST_VC01,4625416
30,HC01_EST_VC01,786786
31,HC01_EST_VC01,1399725
32,HC01_EST_VC01,2128243
33,HC01_EST_VC01,1051190
34,HC01_EST_VC01,6873695
35,HC01_EST_VC01,1568495
36,HC01_EST_VC01,15397847
37,HC01_EST_VC01,7478600
38,HC01_EST_VC01,552988
39,HC01_EST_VC01,8911658
40,HC01_EST_VC01,2883592
41,HC01_EST_VC01,3076391
42,HC01_EST_VC01,10052453
44,HC01_EST_VC01,835607
45,HC01_EST_VC01,3665349
46,HC01_EST_VC01,632607
47,HC01_EST_VC01,4989249
48,HC01_EST_VC01,19384188
49,HC01_EST_VC01,2001677
50,HC01_EST_VC01,502860
51,HC01_EST_VC01,6281984
53,HC01_EST_VC01,5340310
54,HC01_EST_VC01,1468235
55,HC01_EST_VC01,4430290
56,HC01_EST_VC01,439526
72,HC01_EST_VC01,2777916
1,HC01_MOE_VC01,945
2,HC01_MOE_VC01,751
4,HC01_MOE_VC01,1004
5,HC01_MOE_VC01,710
6,HC01_MOE_VC01,2456
8,HC01_MOE_VC01,1165
9,HC01_MOE_VC01,461
10,HC01_MOE_VC01,341
11,HC01_MOE_VC01,286
12,HC01_MOE_VC01,1764
13,HC01_MOE_VC01,1891
15,HC01_MOE_VC01,1051
16,HC01_MOE_VC01,560
17,HC01_MOE_VC01,887
18,HC01_MOE_VC01,823
19,HC01_MOE_VC01,612
20,HC01_MOE_VC01,914
21,HC01_MOE_VC01,827
22,HC01_MOE_VC01,852
23,HC01_MOE_VC01,332
24,HC01_MOE_VC01,1154
25,HC01_MOE_VC01,543
26,HC01_MOE_VC01,648
27,HC01_MOE_VC01,406
28,HC01_MOE_VC01,928
29,HC01_MOE_VC01,1010
30,HC01_MOE_VC01,470
31,HC01_MOE_VC01,513
32,HC01_MOE_VC01,631
33,HC01_MOE_VC01,241
34,HC01_MOE_VC01,576
35,HC01_MOE_VC01,758
