Row Labels,Sum of total_pop,pc_year-to-year_total,Sum of vet_total,pc_year_to_year_vets,Sum of total_ed_attain,pc_total_ed_attain,Sum of total_bach_higher,perc_point_diff_total_bach_higher,Sum of total_hs_eqv,pcd_total_hs_eqv,Sum of vet_attain,pc_vet_attain,Sum of vet_bach_higher,pcd_vet_bach_higher,Sum of vet_hs_eqv,pcd_vet_hs_eqv,Sum of total_unemploy_rate,pcd_total_unemploy_rate,Sum of vet_unemploy_rate,pcd_vet_unemploy_rate
California,337316688,,22835546,,291719651,,366.7,,255.5,,22439629,,375.8,,249.3,,106.3,,96,
2005,25543447,,2193336,,22238823,,29.5,,21.8,,2150540,,31.2,,21.4,,6.9,,5.4,
2006,26789221,4.88%,2142367,-2.32%,23064312,3.71%,29,-0.5,23.2,1.4,2095470,-2.56%,30.7,-0.5,22.7,1.3,6.4,-0.5,5.1,-0.3
2007,27033547,0.91%,2079606,-2.93%,23264808,0.87%,29.5,0.5,23.1,1.3,2035659,-2.85%,30.4,-0.3,23.2,0.5,6.4,0,5.2,0.1
2008,27233110,0.74%,2034700,-2.16%,23436146,0.74%,29.6,0.1,20.9,-0.9,2005096,-1.50%,30.8,0.4,20.5,-2.7,7.3,0.9,6.3,1.1
2009,27365341,0.49%,1963556,-3.50%,23693313,1.10%,29.9,0.3,21,-0.8,1935596,-3.47%,30.9,0.1,20.9,0.4,11.1,3.8,9.8,3.5
2010,27908574,1.99%,1947570,-0.81%,24025697,1.40%,30.1,0.2,20.8,-1,1912685,-1.18%,30.6,-0.3,20.6,-0.3,12.6,1.5,11.3,1.5
2011,28292703,1.38%,1910994,-1.88%,24373814,1.45%,30.3,0.2,21.1,-0.7,1880399,-1.69%,31.5,0.9,20.2,-0.4,12.2,-0.4,11.4,0.1
2012,28663319,1.31%,1857748,-2.79%,24703377,1.35%,30.9,0.6,20.6,-1.2,1826578,-2.86%,31,-0.5,20.9,0.7,11.2,-1,11.1,-0.3
2013,29027762,1.27%,1743333,-6.16%,25074251,1.50%,31,0.1,20.8,-1,1712975,-6.22%,31.2,0.2,19.9,-1,10,-1.2,10,-1.1
2014,29521047,1.70%,1693602,-2.85%,25584416,2.03%,31.7,0.7,20.9,-0.9,1664387,-2.84%,32.3,1.1,19.9,0,8.5,-1.5,7.9,-2.1
2015,29905521,1.30%,1644215,-2.92%,26021433,1.71%,32.3,0.6,20.8,-1,1620446,-2.64%,32.6,0.3,19.7,-0.2,7.2,-1.3,6.8,-1.1
2016,30033096,0.43%,1624519,-1.20%,26239261,0.84%,32.9,0.6,20.5,-1.3,1599798,-1.27%,32.6,0,19.4,-0.3,6.5,-0.7,5.7,-1.1
Florida,178981081,,18976464,,158684903,,316.9,,361.2,,18760415,,344,,339.5,,103.5,,89.1,
2005,13289030,,1717801,,11814846,,25.1,,30.6,,1694365,,27.8,,28.5,,6,,4.4,
