GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC02_EST_VC01,HC03_EST_VC01,HC01_EST_VC03,HC02_EST_VC03,HC03_EST_VC03,HC01_EST_VC04,HC02_EST_VC04,HC03_EST_VC04,HC01_EST_VC05,HC02_EST_VC05,HC03_EST_VC05,HC01_EST_VC06,HC02_EST_VC06,HC03_EST_VC06,HC01_EST_VC08,HC02_EST_VC08,HC03_EST_VC08,HC01_EST_VC09,HC02_EST_VC09,HC03_EST_VC09,HC01_EST_VC11,HC02_EST_VC11,HC03_EST_VC11,HC01_EST_VC12,HC02_EST_VC12,HC03_EST_VC12,HC01_EST_VC13,HC02_EST_VC13,HC03_EST_VC13,HC01_EST_VC14,HC02_EST_VC14,HC03_EST_VC14,HC01_EST_VC15,HC02_EST_VC15,HC03_EST_VC15,HC01_EST_VC17,HC02_EST_VC17,HC03_EST_VC17,HC01_EST_VC18,HC02_EST_VC18,HC03_EST_VC18,HC01_EST_VC19,HC02_EST_VC19,HC03_EST_VC19,HC01_EST_VC20,HC02_EST_VC20,HC03_EST_VC20,HC01_EST_VC21,HC02_EST_VC21,HC03_EST_VC21,HC01_EST_VC22,HC02_EST_VC22,HC03_EST_VC22,HC01_EST_VC23,HC02_EST_VC23,HC03_EST_VC23,HC01_EST_VC24,HC02_EST_VC24,HC03_EST_VC24,HC01_EST_VC25,HC02_EST_VC25,HC03_EST_VC25,HC01_EST_VC26,HC02_EST_VC26,HC03_EST_VC26,HC01_EST_VC28,HC02_EST_VC28,HC03_EST_VC28,HC01_EST_VC29,HC02_EST_VC29,HC03_EST_VC29,HC01_EST_VC30,HC02_EST_VC30,HC03_EST_VC30,HC01_EST_VC32,HC02_EST_VC32,HC03_EST_VC32,HC01_EST_VC33,HC02_EST_VC33,HC03_EST_VC33,HC01_EST_VC34,HC02_EST_VC34,HC03_EST_VC34,HC01_EST_VC35,HC02_EST_VC35,HC03_EST_VC35,HC01_EST_VC36,HC02_EST_VC36,HC03_EST_VC36,HC01_EST_VC38,HC02_EST_VC38,HC03_EST_VC38,HC01_EST_VC39,HC02_EST_VC39,HC03_EST_VC39,HC01_EST_VC40,HC02_EST_VC40,HC03_EST_VC40,HC01_EST_VC41,HC02_EST_VC41,HC03_EST_VC41,HC01_EST_VC43,HC02_EST_VC43,HC03_EST_VC43,HC01_EST_VC44,HC02_EST_VC44,HC03_EST_VC44,HC01_EST_VC46,HC02_EST_VC46,HC03_EST_VC46,HC01_EST_VC47,HC02_EST_VC47,HC03_EST_VC47
Id,Id2,Geography,Total; Estimate; Civilian population 18 years and over,Veterans; Estimate; Civilian population 18 years and over,Nonveterans; Estimate; Civilian population 18 years and over,Total; Estimate; Civilian population 18 years and over - PERIOD OF SERVICE - Gulf War veterans,Veterans; Estimate; Civilian population 18 years and over - PERIOD OF SERVICE - Gulf War veterans,Nonveterans; Estimate; Civilian population 18 years and over - PERIOD OF SERVICE - Gulf War veterans,Total; Estimate; Civilian population 18 years and over - PERIOD OF SERVICE - Vietnam era veterans,Veterans; Estimate; Civilian population 18 years and over - PERIOD OF SERVICE - Vietnam era veterans,Nonveterans; Estimate; Civilian population 18 years and over - PERIOD OF SERVICE - Vietnam era veterans,Total; Estimate; Civilian population 18 years and over - PERIOD OF SERVICE - Korean War veterans,Veterans; Estimate; Civilian population 18 years and over - PERIOD OF SERVICE - Korean War veterans,Nonveterans; Estimate; Civilian population 18 years and over - PERIOD OF SERVICE - Korean War veterans,Total; Estimate; Civilian population 18 years and over - PERIOD OF SERVICE - World War II veterans,Veterans; Estimate; Civilian population 18 years and over - PERIOD OF SERVICE - World War II veterans,Nonveterans; Estimate; Civilian population 18 years and over - PERIOD OF SERVICE - World War II veterans,Total; Estimate; Civilian population 18 years and over - SEX - Male,Veterans; Estimate; Civilian population 18 years and over - SEX - Male,Nonveterans; Estimate; Civilian population 18 years and over - SEX - Male,Total; Estimate; Civilian population 18 years and over - SEX - Female,Veterans; Estimate; Civilian population 18 years and over - SEX - Female,Nonveterans; Estimate; Civilian population 18 years and over - SEX - Female,Total; Estimate; Civilian population 18 years and over - AGE - 18 to 34 years,Veterans; Estimate; Civilian population 18 years and over - AGE - 18 to 34 years,Nonveterans; Estimate; Civilian population 18 years and over - AGE - 18 to 34 years,Total; Estimate; Civilian population 18 years and over - AGE - 35 to 54 years,Veterans; Estimate; Civilian population 18 years and over - AGE - 35 to 54 years,Nonveterans; Estimate; Civilian population 18 years and over - AGE - 35 to 54 years,Total; Estimate; Civilian population 18 years and over - AGE - 55 to 64 years,Veterans; Estimate; Civilian population 18 years and over - AGE - 55 to 64 years,Nonveterans; Estimate; Civilian population 18 years and over - AGE - 55 to 64 years,Total; Estimate; Civilian population 18 years and over - AGE - 65 to 74 years,Veterans; Estimate; Civilian population 18 years and over - AGE - 65 to 74 years,Nonveterans; Estimate; Civilian population 18 years and over - AGE - 65 to 74 years,Total; Estimate; Civilian population 18 years and over - AGE - 75 years and over,Veterans; Estimate; Civilian population 18 years and over - AGE - 75 years and over,Nonveterans; Estimate; Civilian population 18 years and over - AGE - 75 years and over,Total; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - One race,Veterans; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - One race,Nonveterans; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - One race,Total; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - One race - White,Veterans; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - One race - White,Nonveterans; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - One race - White,Total; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American,Veterans; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American,Nonveterans; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American,Total; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native,Veterans; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native,Nonveterans; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native,Total; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian,Veterans; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian,Nonveterans; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian,Total; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander,Veterans; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander,Nonveterans; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander,Total; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race,Veterans; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race,Nonveterans; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race,Total; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Veterans; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Nonveterans; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - Two or more races,Total; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino (of any race),Veterans; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino (of any race),Nonveterans; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - Hispanic or Latino (of any race),"Total; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino","Veterans; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino","Nonveterans; Estimate; Civilian population 18 years and over - RACE AND HISPANIC OR LATINO ORIGIN - White alone, not Hispanic or Latino",Total; Estimate; Civilian population 18 years and over - MEDIAN INCOME IN THE PAST 12 MONTHS (In 2005 Inflation-Adjusted Dollars) - Median income (dollars),Veterans; Estimate; Civilian population 18 years and over - MEDIAN INCOME IN THE PAST 12 MONTHS (In 2005 Inflation-Adjusted Dollars) - Median income (dollars),Nonveterans; Estimate; Civilian population 18 years and over - MEDIAN INCOME IN THE PAST 12 MONTHS (In 2005 Inflation-Adjusted Dollars) - Median income (dollars),Total; Estimate; Civilian population 18 years and over - MEDIAN INCOME IN THE PAST 12 MONTHS (In 2005 Inflation-Adjusted Dollars) - Median income (dollars) - Male,Veterans; Estimate; Civilian population 18 years and over - MEDIAN INCOME IN THE PAST 12 MONTHS (In 2005 Inflation-Adjusted Dollars) - Median income (dollars) - Male,Nonveterans; Estimate; Civilian population 18 years and over - MEDIAN INCOME IN THE PAST 12 MONTHS (In 2005 Inflation-Adjusted Dollars) - Median income (dollars) - Male,Total; Estimate; Civilian population 18 years and over - MEDIAN INCOME IN THE PAST 12 MONTHS (In 2005 Inflation-Adjusted Dollars) - Median income (dollars) - Female,Veterans; Estimate; Civilian population 18 years and over - MEDIAN INCOME IN THE PAST 12 MONTHS (In 2005 Inflation-Adjusted Dollars) - Median income (dollars) - Female,Nonveterans; Estimate; Civilian population 18 years and over - MEDIAN INCOME IN THE PAST 12 MONTHS (In 2005 Inflation-Adjusted Dollars) - Median income (dollars) - Female,Total; Estimate; Civilian population 18 years and over - EDUCATIONAL ATTAINMENT - Civilian population 25 years and over,Veterans; Estimate; Civilian population 18 years and over - EDUCATIONAL ATTAINMENT - Civilian population 25 years and over,Nonveterans; Estimate; Civilian population 18 years and over - EDUCATIONAL ATTAINMENT - Civilian population 25 years and over,Total; Estimate; Civilian population 18 years and over - EDUCATIONAL ATTAINMENT - Civilian population 25 years and over - Less than high school graduate,Veterans; Estimate; Civilian population 18 years and over - EDUCATIONAL ATTAINMENT - Civilian population 25 years and over - Less than high school graduate,Nonveterans; Estimate; Civilian population 18 years and over - EDUCATIONAL ATTAINMENT - Civilian population 25 years and over - Less than high school graduate,Total; Estimate; Civilian population 18 years and over - EDUCATIONAL ATTAINMENT - Civilian population 25 years and over - High school graduate (includes equivalency),Veterans; Estimate; Civilian population 18 years and over - EDUCATIONAL ATTAINMENT - Civilian population 25 years and over - High school graduate (includes equivalency),Nonveterans; Estimate; Civilian population 18 years and over - EDUCATIONAL ATTAINMENT - Civilian population 25 years and over - High school graduate (includes equivalency),Total; Estimate; Civilian population 18 years and over - EDUCATIONAL ATTAINMENT - Civilian population 25 years and over - Some college or associate's degree,Veterans; Estimate; Civilian population 18 years and over - EDUCATIONAL ATTAINMENT - Civilian population 25 years and over - Some college or associate's degree,Nonveterans; Estimate; Civilian population 18 years and over - EDUCATIONAL ATTAINMENT - Civilian population 25 years and over - Some college or associate's degree,Total; Estimate; Civilian population 18 years and over - EDUCATIONAL ATTAINMENT - Civilian population 25 years and over - Bachelor's degree or higher,Veterans; Estimate; Civilian population 18 years and over - EDUCATIONAL ATTAINMENT - Civilian population 25 years and over - Bachelor's degree or higher,Nonveterans; Estimate; Civilian population 18 years and over - EDUCATIONAL ATTAINMENT - Civilian population 25 years and over - Bachelor's degree or higher,Total; Estimate; EMPLOYMENT STATUS - Civilian population 18 to 64 years,Veterans; Estimate; EMPLOYMENT STATUS - Civilian population 18 to 64 years,Nonveterans; Estimate; EMPLOYMENT STATUS - Civilian population 18 to 64 years,Total; Estimate; EMPLOYMENT STATUS - Civilian population 18 to 64 years - Labor force participation rate,Veterans; Estimate; EMPLOYMENT STATUS - Civilian population 18 to 64 years - Labor force participation rate,Nonveterans; Estimate; EMPLOYMENT STATUS - Civilian population 18 to 64 years - Labor force participation rate,Total; Estimate; EMPLOYMENT STATUS - Civilian labor force 18 to 64 years,Veterans; Estimate; EMPLOYMENT STATUS - Civilian labor force 18 to 64 years,Nonveterans; Estimate; EMPLOYMENT STATUS - Civilian labor force 18 to 64 years,Total; Estimate; EMPLOYMENT STATUS - Civilian labor force 18 to 64 years - Unemployment rate,Veterans; Estimate; EMPLOYMENT STATUS - Civilian labor force 18 to 64 years - Unemployment rate,Nonveterans; Estimate; EMPLOYMENT STATUS - Civilian labor force 18 to 64 years - Unemployment rate,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Civilian population 18 years and over,Veterans; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Civilian population 18 years and over,Nonveterans; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Civilian population 18 years and over,Total; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Civilian population 18 years and over - Below poverty in the past 12 months,Veterans; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Civilian population 18 years and over - Below poverty in the past 12 months,Nonveterans; Estimate; POVERTY STATUS IN THE PAST 12 MONTHS - Civilian population 18 years and over - Below poverty in the past 12 months,Total; Estimate; DISABILITY STATUS - Civilian population 18 years and over,Veterans; Estimate; DISABILITY STATUS - Civilian population 18 years and over,Nonveterans; Estimate; DISABILITY STATUS - Civilian population 18 years and over,Total; Estimate; DISABILITY STATUS - Civilian population 18 years and over - With any disability,Veterans; Estimate; DISABILITY STATUS - Civilian population 18 years and over - With any disability,Nonveterans; Estimate; DISABILITY STATUS - Civilian population 18 years and over - With any disability
0400000US01,1,Alabama,3344721,403950,2940771,,20.3,,,34.4,,,14.6,,,11.9,,47.2,93.0,40.9,52.8,7.0,59.1,29.6,8.2,32.5,38.5,31.0,39.5,14.8,24.2,13.5,9.7,20.1,8.3,7.4,16.5,6.1,,,,73.1,80.1,72.1,24.0,18.0,24.8,0.5,0.5,0.5,0.9,0.2,1.0,,,,,,,0.8,0.9,0.8,2.0,0.8,2.1,71.9,79.6,70.8,20967,31881,19567,,32605,26635,,21138,15325,2933930,396968,2536962,19.8,12.3,21.0,32.1,29.6,32.4,26.8,35.3,25.5,21.3,22.8,21.1,2772037,255864,2516173,73.1,76.8,72.7,2026080,196407,1829673,6.9,5.4,7.1,3344721,403950,2940771,14.6,7.5,15.6,3344721,403950,2940771,22.6,30.6,21.6
0400000US02,2,Alaska,446969,74482,372487,,30.9,,,39.2,,,7.2,,,4.9,,50.1,88.4,42.4,49.9,11.6,57.6,31.0,13.3,34.5,45.2,42.0,45.8,14.4,26.1,12.1,5.9,11.7,4.7,3.5,6.9,2.9,,,,73.0,80.9,71.4,3.0,5.6,2.4,12.9,7.4,14.0,4.7,1.9,5.2,,,,,,,4.7,3.1,5.1,4.0,3.4,4.2,70.7,78.8,69.1,28104,42023,25368,,43452,33448,,33123,20776,382001,71266,310735,9.1,6.3,9.7,29.1,27.0,29.6,34.7,40.7,33.3,27.1,25.9,27.3,404813,60610,344203,78.1,82.1,77.3,315968,49771,266197,8.4,5.7,8.9,446969,74482,372487,10.0,5.9,10.8,446969,74482,372487,17.3,24.8,15.8
0400000US04,4,Arizona,4238996,538880,3700116,,16.7,,,32.6,,,16.3,,,15.1,,49.1,92.4,42.8,50.9,7.6,57.2,32.5,8.0,36.0,36.5,26.9,38.0,13.6,23.4,12.2,9.6,21.6,7.9,7.7,20.2,5.9,,,,79.2,88.3,77.9,2.9,3.6,2.8,4.1,2.4,4.3,2.3,0.7,2.6,,,,9.9,3.7,10.8,1.5,1.3,1.5,24.5,9.3,26.7,65.4,83.1,62.8,25061,33611,23762,,34202,29473,,26754,19633,3690456,528459,3161997,16.2,8.3,17.5,25.7,23.3,26.1,32.6,39.7,31.4,25.5,28.7,25.0,3503599,313728,3189871,75.8,76.7,75.7,2656869,240567,2416302,6.0,4.9,6.1,4238996,538880,3700116,12.0,6.0,12.9,4238996,538880,3700116,16.0,25.6,14.6
0400000US05,5,Arkansas,2023819,259304,1764515,,19.0,,,34.2,,,13.8,,,12.7,,47.8,92.8,41.2,52.2,7.2,58.8,29.7,8.9,32.8,37.5,29.5,38.7,14.8,24.0,13.5,10.2,20.5,8.7,7.7,17.0,6.4,,,,81.4,86.4,80.6,13.8,11.0,14.2,0.7,0.7,0.7,,,,,,,,,,1.0,1.1,1.0,3.9,1.1,4.3,79.6,85.7,78.7,20071,27202,18887,,27837,23726,,21998,15354,1772970,253426,1519544,19.0,13.2,20.0,35.6,35.8,35.5,26.5,31.8,25.7,18.8,19.2,18.8,1660178,161975,1498203,74.9,74.9,74.8,1242749,121361,1121388,6.6,6.0,6.7,2023819,259304,1764515,14.7,8.6,15.6,2023819,259304,1764515,24.0,34.1,22.5
0400000US06,6,California,25543447,2193336,23350111,,16.3,,,33.6,,,14.4,,,15.9,,48.9,93.3,44.7,51.1,6.7,55.3,32.4,8.7,34.6,40.1,25.8,41.4,13.0,25.2,11.9,7.6,19.4,6.5,6.9,20.9,5.6,97.9,97.9,97.9,62.9,78.4,61.5,5.8,8.1,5.6,0.7,1.0,0.7,13.3,5.2,14.0,0.4,0.5,0.4,14.8,4.7,15.7,2.1,2.1,2.1,31.2,12.2,33.0,47.5,71.7,45.2,26476,40014,25257,,40579,31595,,30363,20532,22238823,2150540,20088283,20.0,7.8,21.3,21.8,21.4,21.9,28.7,39.7,27.5,29.5,31.2,29.3,21842343,1310702,20531641,75.3,78.0,75.2,16453457,1022697,15430760,6.9,5.4,7.0,25543447,2193336,23350111,11.4,4.8,12.0,25543447,2193336,23350111,14.8,25.4,13.8
0400000US08,8,Colorado,3371999,402091,2969908,,22.2,,,35.8,,,12.0,,,11.0,,49.7,91.3,44.0,50.3,8.7,56.0,33.2,10.0,36.4,40.5,31.7,41.7,13.1,25.7,11.4,7.3,17.7,5.8,5.9,14.9,4.6,,,,85.2,88.0,84.8,3.4,5.5,3.1,0.9,0.7,0.9,2.7,1.0,2.9,,,,6.0,3.0,6.4,1.7,1.5,1.7,17.1,9.4,18.1,75.1,82.4,74.1,28047,37795,26676,,39006,33701,,28213,21887,2952895,396023,2556872,11.4,6.5,12.1,23.9,24.1,23.9,29.3,36.1,28.3,35.4,33.4,35.7,2929102,270789,2658313,80.8,82.1,80.6,2365447,222385,2143062,5.9,5.3,5.9,3371999,402091,2969908,10.0,5.2,10.7,3371999,402091,2969908,13.5,21.3,12.5
0400000US09,9,Connecticut,2559377,261294,2298083,,10.8,,,31.7,,,14.1,,,19.6,,47.5,94.2,42.2,52.5,5.8,57.8,25.4,6.0,27.7,42.3,23.1,44.5,15.0,26.7,13.6,8.3,18.9,7.0,9.0,25.3,7.2,,,,83.0,91.9,82.0,8.4,5.8,8.6,,,,3.2,0.4,3.6,,,,4.1,0.8,4.4,1.0,0.8,1.1,9.6,3.1,10.3,77.8,89.9,76.4,31919,40118,31222,,40375,41212,,31166,24982,2296948,258408,2038540,12.1,11.3,12.2,29.4,32.8,29.0,23.6,26.9,23.2,34.9,29.1,35.7,2116798,145729,1971069,80.6,81.2,80.5,1706018,118339,1587679,6.0,4.6,6.1,2559377,261294,2298083,7.3,3.7,7.7,2559377,261294,2298083,14.3,23.4,13.3
0400000US10,10,Delaware,620779,79151,541628,,19.8,,,33.0,,,13.1,,,14.4,,47.6,92.5,41.0,52.4,7.5,59.0,28.7,8.2,31.7,39.6,28.3,41.2,14.5,24.9,13.0,9.4,20.0,7.9,7.8,18.6,6.2,,,,76.0,82.7,75.0,18.3,15.2,18.7,,,,,,,,,,,,,,,,5.2,1.1,5.8,72.6,82.0,71.3,28667,37970,27071,,38615,35138,,33195,22195,549280,77663,471617,14.4,13.9,14.5,33.1,34.3,32.8,25.0,27.2,24.6,27.5,24.6,28.0,513988,48577,465411,78.8,80.1,78.6,404832,38887,365945,5.5,3.9,5.6,620779,79151,541628,9.2,4.0,9.9,620779,79151,541628,16.2,22.6,15.3
0400000US11,11,District of Columbia,402419,31959,370460,,21.4,,,26.2,,,13.8,,,13.3,,46.2,90.3,42.4,53.8,9.7,57.6,34.0,10.2,36.0,36.7,26.9,37.5,13.8,21.1,13.2,7.9,19.8,6.9,7.6,22.0,6.4,,,,36.4,32.4,36.8,52.9,64.2,52.0,,,,,,,,,,,,,,,,,,,33.8,31.7,34.0,32099,34728,31961,,35215,36442,,28750,29664,370772,31694,339078,16.5,10.8,17.0,21.1,28.4,20.4,17.3,23.4,16.7,45.1,37.4,45.9,339925,18580,321345,78.5,76.2,78.6,266720,14154,252566,8.9,8.7,8.9,402419,31959,370460,15.5,10.5,15.9,402419,31959,370460,15.3,20.0,14.9
